Linear-- | Epoch 100/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8128
Linear-- | Epoch 100/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8199
Linear-- | Epoch 100/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8217
Linear-- | Epoch 100/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8175
Linear-- | Epoch 100/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8183
Linear-- | Epoch 200/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8542
Linear-- | Epoch 200/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8586
Linear-- | Epoch 200/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8576
Linear-- | Epoch 200/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8582
Linear-- | Epoch 200/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8519
Linear-- | Epoch 300/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8695
Linear-- | Epoch 300/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8726
Linear-- | Epoch 300/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8738
Linear-- | Epoch 300/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.875
Linear-- | Epoch 300/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8711
Linear-- | Epoch 400/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8789
Linear-- | Epoch 400/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8811
Linear-- | Epoch 400/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8779
Linear-- | Epoch 400/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8835
Linear-- | Epoch 400/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8827
Linear-- | Epoch 500/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8829
Linear-- | Epoch 500/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8831
Linear-- | Epoch 500/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8884
Linear-- | Epoch 500/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.887
Linear-- | Epoch 500/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 1.0, test_acc 0.8871
Semi-sup | Epoch 100/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.7527
Semi-sup | Epoch 100/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.843
Semi-sup | Epoch 100/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.7643
Semi-sup | Epoch 100/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8543
Semi-sup | Epoch 100/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.7692
Semi-sup | Epoch 100/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8531
Semi-sup | Epoch 100/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.7593
Semi-sup | Epoch 100/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8473
Semi-sup | Epoch 100/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.7653
Semi-sup | Epoch 100/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8516
Semi-sup | Epoch 200/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.7923
Semi-sup | Epoch 200/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8712
Semi-sup | Epoch 200/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8002
Semi-sup | Epoch 200/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8722
Semi-sup | Epoch 200/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8047
Semi-sup | Epoch 200/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8772
Semi-sup | Epoch 200/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8014
Semi-sup | Epoch 200/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8727
Semi-sup | Epoch 200/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.7967
Semi-sup | Epoch 200/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8727
Semi-sup | Epoch 300/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8077
Semi-sup | Epoch 300/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8813
Semi-sup | Epoch 300/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8196
Semi-sup | Epoch 300/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8832
Semi-sup | Epoch 300/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8205
Semi-sup | Epoch 300/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8903
Semi-sup | Epoch 300/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8159
Semi-sup | Epoch 300/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8858
Semi-sup | Epoch 300/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8169
Semi-sup | Epoch 300/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8858
Semi-sup | Epoch 400/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8194
Semi-sup | Epoch 400/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8879
Semi-sup | Epoch 400/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.826
Semi-sup | Epoch 400/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8893
Semi-sup | Epoch 400/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8314
Semi-sup | Epoch 400/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8905
Semi-sup | Epoch 400/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.829
Semi-sup | Epoch 400/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8932
