epoch,epoch_total,pretrain_bs,temp,lr,label_perc,test_acc,eval
300,500,512,0.5,0.001,0.1,0.8858,semi
400,500,64,0.5,0.001,1.0,0.8827,linear
400,500,1024,0.5,0.001,0.1,0.8879,semi
200,500,512,0.5,0.001,0.1,0.8727,semi
200,500,1024,0.5,0.001,1.0,0.8542,linear
500,500,512,0.5,0.001,1.0,0.887,linear
400,500,512,0.5,0.001,0.1,0.8932,semi
100,500,128,0.5,0.001,0.01,0.7643,semi
500,500,64,0.5,0.001,0.1,0.8967,semi
200,500,256,0.5,0.001,0.01,0.8047,semi
200,500,512,0.5,0.001,0.01,0.8014,semi
300,500,128,0.5,0.001,0.01,0.8196,semi
400,500,512,0.5,0.001,0.01,0.829,semi
400,500,128,0.5,0.001,1.0,0.8811,linear
500,500,512,0.5,0.001,0.1,0.8955,semi
200,500,64,0.5,0.001,0.01,0.7967,semi
300,500,1024,0.5,0.001,1.0,0.8695,linear
200,500,64,0.5,0.001,0.1,0.8727,semi
400,500,128,0.5,0.001,0.01,0.826,semi
500,500,128,0.5,0.001,1.0,0.8831,linear
300,500,256,0.5,0.001,0.1,0.8903,semi
500,500,256,0.5,0.001,0.01,0.8368,semi
200,500,128,0.5,0.001,1.0,0.8586,linear
300,500,128,0.5,0.001,0.1,0.8832,semi
100,500,128,0.5,0.001,0.1,0.8543,semi
100,500,256,0.5,0.001,0.1,0.8531,semi
300,500,64,0.5,0.001,1.0,0.8711,linear
100,500,64,0.5,0.001,0.01,0.7653,semi
400,500,1024,0.5,0.001,1.0,0.8789,linear
100,500,128,0.5,0.001,1.0,0.8199,linear
200,500,1024,0.5,0.001,0.1,0.8712,semi
500,500,64,0.5,0.001,0.01,0.8354,semi
500,500,512,0.5,0.001,0.01,0.834,semi
100,500,256,0.5,0.001,0.01,0.7692,semi
100,500,512,0.5,0.001,1.0,0.8175,linear
200,500,128,0.5,0.001,0.1,0.8722,semi
300,500,64,0.5,0.001,0.01,0.8169,semi
100,500,1024,0.5,0.001,1.0,0.8128,linear
100,500,256,0.5,0.001,1.0,0.8217,linear
400,500,64,0.5,0.001,0.1,0.8939,semi
300,500,512,0.5,0.001,0.01,0.8159,semi
200,500,1024,0.5,0.001,0.01,0.7923,semi
500,500,256,0.5,0.001,1.0,0.8884,linear
100,500,512,0.5,0.001,0.1,0.8473,semi
300,500,1024,0.5,0.001,0.01,0.8077,semi
100,500,64,0.5,0.001,0.1,0.8516,semi
300,500,256,0.5,0.001,0.01,0.8205,semi
400,500,128,0.5,0.001,0.1,0.8893,semi
400,500,256,0.5,0.001,0.01,0.8314,semi
200,500,512,0.5,0.001,1.0,0.8582,linear
400,500,512,0.5,0.001,1.0,0.8835,linear
400,500,256,0.5,0.001,0.1,0.8905,semi
100,500,64,0.5,0.001,1.0,0.8183,linear
500,500,128,0.5,0.001,0.1,0.8942,semi
200,500,128,0.5,0.001,0.01,0.8002,semi
100,500,1024,0.5,0.001,0.01,0.7527,semi
500,500,1024,0.5,0.001,0.1,0.8916,semi
300,500,512,0.5,0.001,1.0,0.875,linear
400,500,64,0.5,0.001,0.01,0.8275,semi
400,500,256,0.5,0.001,1.0,0.8779,linear
200,500,256,0.5,0.001,1.0,0.8576,linear
500,500,1024,0.5,0.001,0.01,0.8242,semi
300,500,1024,0.5,0.001,0.1,0.8813,semi
100,500,1024,0.5,0.001,0.1,0.843,semi
200,500,64,0.5,0.001,1.0,0.8519,linear
300,500,256,0.5,0.001,1.0,0.8738,linear
500,500,256,0.5,0.001,0.1,0.8977,semi
500,500,128,0.5,0.001,0.01,0.829,semi
300,500,128,0.5,0.001,1.0,0.8726,linear
300,500,64,0.5,0.001,0.1,0.8858,semi
100,500,512,0.5,0.001,0.01,0.7593,semi
500,500,1024,0.5,0.001,1.0,0.8829,linear
500,500,64,0.5,0.001,1.0,0.8871,linear
200,500,256,0.5,0.001,0.1,0.8772,semi
400,500,1024,0.5,0.001,0.01,0.8194,semi
